id,title,price,ownerid
1,PEN,486,100
2,HEADPHONE,316,101
3,PEN,792,102
4,MONITOR,918,103
5,FAN,522,104
6,MOBLE,948,105
7,BOTLE,431,106
8,MONITOR,462,107
9,HEADPHONE,129,108
10,MOBLE,591,109
11,PEN,272,110
12,WATCH,983,111
13,BOOK,669,112
14,BOOK,720,113
15,HEADPHONE,539,114
16,MOUSE,827,115
17,BOOK,723,116
18,MOUSE,239,117
19,MOUSE,866,118
20,BOTLE,992,119
21,MOBLE,208,120
22,PEN,859,121
23,MOBLE,190,122
24,BOTLE,383,123
25,MONITOR,242,124
26,MOBLE,740,125
27,MOBLE,296,126
28,WATCH,963,127
29,MONITOR,133,128
30,LAPTOP,253,129
