id,title,price,ownerid
2000,HP,1000,105
2001,Oneplus,800,100
2002,Waterbottle,700,102
2003,HP,700,100
2004,Bag,1000,108
2005,Headphone,900,107
2006,Headphone,500,105
2007,Iphone,1000,107
2008,Nokia,400,100
2009,Oneplus,800,100
2010,HP,600,102
2011,Charger,800,101
2012,Charger,700,108
2013,Waterbottle,900,100
2014,Dell,400,101
2015,Waterbottle,200,102
2016,Charger,300,107
2017,Waterbottle,300,109
2018,Nokia,800,108
2019,Dell,800,108
2020,Waterbottle,600,104
2021,Nokia,600,105
2022,Waterbottle,200,103
2023,Iphone,500,100
2024,Headphone,800,107
2025,Bag,800,108
2026,HP,300,100
2027,Oneplus,200,100
2028,Dell,300,108
2029,Iphone,500,108
2030,Dell,800,101
2031,Nokia,400,104
2032,Oneplus,900,109
2033,Waterbottle,700,109
2034,Oneplus,600,102
2035,Charger,1000,106
2036,Oneplus,500,105
2037,Nokia,600,103
2038,Waterbottle,800,102
2039,Bag,800,102
2040,Headphone,100,103
2041,Charger,1000,108
2042,Bag,1000,104
2043,Waterbottle,1000,102
2044,Headphone,600,100
2045,Bag,100,106
2046,Nokia,300,104
2047,HP,800,103
2048,Charger,600,107
2049,Oneplus,1000,103
2050,Dell,400,108
2051,Charger,700,102
2052,Dell,300,101
2053,HP,700,105
2054,Dell,1000,108
2055,Dell,100,108
2056,Headphone,500,102
2057,Oneplus,600,106
2058,Headphone,500,101
2059,Dell,700,102
2060,Bag,400,102
2061,Headphone,1000,105
2062,Bag,300,109
2063,Bag,400,108
2064,Bag,600,108
2065,Oneplus,900,107
2066,Oneplus,500,106
2067,Waterbottle,300,102
2068,HP,200,101
2069,Headphone,400,107
2070,Headphone,400,106
2071,Waterbottle,700,107
2072,Bag,100,106
2073,Oneplus,1000,104
2074,Charger,1000,109
2075,HP,300,101
2076,Bag,900,105
2077,Waterbottle,600,106
2078,HP,600,102
2079,Oneplus,700,104
2080,Charger,900,105
2081,Iphone,300,104
2082,Charger,300,102
2083,HP,500,109
2084,Iphone,800,109
2085,Nokia,100,102
2086,Waterbottle,100,102
2087,Bag,200,103
2088,Charger,700,102
2089,HP,400,106
2090,Nokia,600,102
2091,Charger,800,102
2092,Charger,200,106
2093,HP,400,105
2094,Bag,300,101
2095,HP,400,100
2096,Headphone,800,101
2097,HP,100,103
2098,Bag,100,104
2099,Oneplus,1000,101
